Frame,My_Algorithm,Base_Distance,Angle_Algorithm
0,0.4100204498977505,0.4100204498977505,0.41002044989775044
1,0.4100204498977505,0.4100204498977505,0.41002044989775044
2,0.4058295964125561,0.4058295964125561,0.40582959641255606
3,0.40123456790123463,0.4012345679012345,0.4012345679012346
4,0.3961748633879782,0.39617486338797814,0.3961748633879782
5,0.3905775075987842,0.3905775075987842,0.16630790459210437
6,0.3843537414965987,0.3843537414965986,0.37156288938724447
7,0.27438324148873333,0.3524150268336315,0.12472161881557291
8,0.1499380392556613,0.31954887218045114,0.10078710009185057
9,0.1307718082653018,0.2859960552268245,0.08057741374299561
10,0.20687602777092445,0.27293064876957496,0.22403173161969772
11,0.258312020460358,0.25831202046035806,0.20761194636688832
12,0.4376575528407989,0.2961165048543689,0.7792076158850891
13,0.6611981836824373,0.32189973614775724,0.6408443950159198
14,0.5897004940258525,0.3505747126436781,0.7028152555617563
15,0.4245732186184707,0.33892617449664425,0.3214214295586617
16,0.32539682539682535,0.3253968253968254,0.30781182113093114
17,0.44869154206755696,0.36123348017621143,0.3429219983027981
18,0.6415135705128139,0.4019607843137255,0.3842113652676574
19,0.8554186936374749,0.5,0.8980590735492595
20,0.9434201874130687,0.5980392156862746,0.9432517664485379
21,0.9615395105583325,0.6904761904761905,0.9551615490930567
22,0.9744275146054989,0.7727272727272727,0.9721789574243145
23,0.9835176185825255,0.8418803418803419,0.9826187111570951
24,0.9898391080028696,0.8968253968253969,0.9894057185872681
25,0.994132375230558,0.9379562043795621,0.994150186052113
26,0.99693260208116,0.9666666666666666,0.9970344737499247
27,0.9986291397121517,0.9848484848484848,0.9986881565480084
28,0.9995072692118329,0.9945054945054944,0.9995072692118329
